disability	score
none	1.9
none	2.5
none	3
none	3.6
none	4.1
none	4.2
none	4.9
none	5.1
none	5.4
none	5.9
none	6.1
none	6.7
none	7.4
none	7.8
amputee	1.9
amputee	2.5
amputee	2.6
amputee	3.2
amputee	3.6
amputee	3.8
amputee	4
amputee	4.6
amputee	5.3
amputee	5.5
amputee	5.8
amputee	5.9
amputee	6.1
amputee	7.2
crutches	3.7
crutches	4
crutches	4.3
crutches	4.3
crutches	5.1
crutches	5.8
crutches	6
crutches	6.2
crutches	6.3
crutches	6.4
crutches	7.4
crutches	7.4
crutches	7.5
crutches	8.5
hearing	1.4
hearing	2.1
hearing	2.4
hearing	2.9
hearing	3.4
hearing	3.7
hearing	3.9
hearing	4.2
hearing	4.3
hearing	4.7
hearing	5.5
hearing	5.8
hearing	5.9
hearing	6.5
wheelchair	1.7
wheelchair	2.8
wheelchair	3.5
wheelchair	4.7
wheelchair	4.8
wheelchair	5
wheelchair	5.3
wheelchair	6.1
wheelchair	6.1
wheelchair	6.2
wheelchair	6.4
wheelchair	7.2
wheelchair	7.4
wheelchair	7.6
