continent,per_TV,per_MD,sex,life_exp
Sa,4,370,M,74
As,315,6166,M,53
Sa,4,684,M,68
Na,1.7,449,M,80
As,8,643,M,72
Sa,5.6,1551,M,74
Af,15,616,M,61
Af,503,36660,M,53
Eu,2.6,403,M,82
Eu,2.6,346,M,79
As,44,2471,M,58
As,24,7427,M,63
As,23,2992,M,65
Eu,3.8,233,M,82
As,1.8,609,M,82
Af,96,7615,M,63
As,90,370,M,73
As,4.9,1066,M,73
Na,6.6,600,M,76
Af,2.1,4873,M,66
As,592,3485,M,56
As,73,2364,M,57
Sa,14,1016,M,67
As,8.8,1062,M,67
Eu,3.9,480,M,77
Eu,6,559,M,75
Eu,3.2,259,M,74
Af,11,1340,M,67
Eu,2.6,275,M,82
Af,23,12550,M,54
As,3.2,965,M,78
As,11,4883,M,73
Eu,5,1189,M,72
Eu,3,226,M,75
Eu,3,611,M,79
Na,1.3,404,M,79
Sa,5.6,576,M,78
As,29,3096,M,67
Sa,4,370,F,67
As,315,6166,F,54
Sa,4,684,F,62
Na,1.7,449,F,73
As,8,643,F,68
Sa,5.6,1551,F,68
Af,15,616,F,60
Af,503,36660,F,50
Eu,2.6,403,F,74
Eu,2.6,346,F,73
As,44,2471,F,57
As,24,7427,F,59
As,23,2992,F,64
Eu,3.8,233,F,75
As,1.8,609,F,76
Af,96,7615,F,59
As,90,370,F,67
As,4.9,1066,F,67
Na,6.6,600,F,68
Af,2.1,4873,F,63
As,592,3485,F,53
As,73,2364,F,56
Sa,14,1016,F,62
As,8.8,1062,F,62
Eu,3.9,480,F,69
Eu,6,559,F,69
Eu,3.2,259,F,64
Af,11,1340,F,61
Eu,2.6,275,F,75
Af,23,12550,F,52
As,3.2,965,F,72
As,11,4883,F,66
Eu,5,1189,F,68
Eu,3,226,F,66
Eu,3,611,F,73
Na,1.3,404,F,72
Sa,5.6,576,F,71
As,29,3096,F,63
